ticket_id,timestamp,alert_severity,alert_type,source_ip,dest_asset,assigned_analyst,time_to_acknowledge,time_to_close,resolution_notes,escalated,shift
TKT-007777,2026-08-27T23:28:30.418698,MEDIUM,Ransomware,10.91.97.228,net-sw-41,Pooja Chauhan,583,2767,Detected Ransomware pattern on net-sw-41. Updated IDS signatures and added source to watchlist. outdated vulnerability scanner signatures confirmed.,False,NIGHT
TKT-001298,2026-09-07T12:15:34.717486,MEDIUM,Malware Detection,10.198.230.234,dev-ws-5,Deepa Reddy,455,2551,"Escalated Malware Detection to Tier-2. Forensic analysis revealed test traffic from red-team exercise. Remediation applied, monitoring for recurrence.",False,DAY
TKT-009434,2026-08-22T06:38:46.108554,MEDIUM,C2 Communication,10.76.33.19,stg-web-33,Pooja Chauhan,587,3376,Investigated C2 Communication on stg-web-33. Contained threat by isolating the host and running full AV scan. Root cause: test traffic from red-team exercise.,False,DAY
TKT-003431,2026-09-01T14:03:03.835062,LOW,DDoS Attack,10.240.113.218,prod-db-2,Kavita Deshmukh,677,1417,Triaged DDoS Attack alert from prod-db-2. Correlated with SIEM logs — determined to be benign activity from scheduled outdated vulnerability scanner signatures.,False,SWING
TKT-008360,2026-08-22T00:56:15.040322,LOW,Malware Detection,10.9.4.232,stg-web-33,Sunita Rao,238,1607,Performed deep-dive on Malware Detection. Memory dump analysis showed no IOCs. Likely caused by scheduled maintenance script execution. Closing as benign.,False,NIGHT
TKT-004274,2026-09-08T07:13:08.548556,LOW,Brute Force Attempt,10.128.53.3,file-srv-43,Amit Verma,818,576,Reviewed Brute Force Attempt targeting file-srv-43. Source identified as internal penetration test. Verified with Operations team lead.,False,DAY
TKT-008109,2026-09-06T03:31:37.399350,MEDIUM,Lateral Movement,10.97.27.114,mail-srv-42,Sanjay Gupta,322,1634,"Responded to Lateral Movement on mail-srv-42. Quarantined suspicious binary, submitted hash to local sandbox. Result: legacy application compatibility issue.",False,NIGHT
TKT-007755,2026-09-07T09:37:52.940314,LOW,C2 Communication,10.90.87.12,prod-db-17,Deepa Reddy,561,1315,Triaged C2 Communication alert from prod-db-17. Correlated with SIEM logs — determined to be benign activity from scheduled outdated vulnerability scanner signatures.,False,DAY
TKT-006158,2026-08-20T18:50:41.174374,MEDIUM,Phishing Email,10.168.26.158,prod-web-30,Priya Patel,394,1386,Performed deep-dive on Phishing Email. Memory dump analysis showed no IOCs. Likely caused by scheduled maintenance script execution. Closing as benign.,False,SWING
TKT-000608,2026-08-17T07:06:32.151629,MEDIUM,Data Exfiltration,10.139.211.23,net-fw-25,Rohit Malhotra,382,1862,"Responded to Data Exfiltration on net-fw-25. Quarantined suspicious binary, submitted hash to local sandbox. Result: legitimate admin remote session.",False,DAY
TKT-006782,2026-09-02T07:52:21.490134,LOW,DDoS Attack,10.87.106.40,vpn-gw-14,Sunita Rao,737,742,"Escalated DDoS Attack to Tier-2. Forensic analysis revealed test traffic from red-team exercise. Remediation applied, monitoring for recurrence.",False,DAY
TKT-000734,2026-08-21T10:57:54.173996,LOW,C2 Communication,10.107.82.235,net-sw-26,Pooja Chauhan,894,484,"Responded to C2 Communication on net-sw-26. Quarantined suspicious binary, submitted hash to local sandbox. Result: expired SSL certificate renewal process.",False,DAY
TKT-008341,2026-08-23T03:56:01.500618,LOW,Malware Detection,10.208.152.1,fin-ws-22,Kavita Deshmukh,148,1798,Performed deep-dive on Malware Detection. Memory dump analysis showed no IOCs. Likely caused by test traffic from red-team exercise. Closing as benign.,False,NIGHT
TKT-008940,2026-08-16T08:02:44.570942,LOW,Lateral Movement,10.209.140.23,dev-ws-35,Neha Joshi,355,455,Detected Lateral Movement pattern on dev-ws-35. Updated IDS signatures and added source to watchlist. expired SSL certificate renewal process confirmed.,False,DAY
TKT-008166,2026-08-22T06:08:24.124141,LOW,Brute Force Attempt,10.47.135.24,hr-ws-38,Amit Verma,842,1503,"Responded to Brute Force Attempt on hr-ws-38. Quarantined suspicious binary, submitted hash to local sandbox. Result: outdated vulnerability scanner signatures.",False,DAY
TKT-002771,2026-08-27T02:48:39.853642,LOW,SQL Injection,10.223.107.47,stg-web-3,Arjun Nair,458,843,Reviewed SQL Injection targeting stg-web-3. Source identified as internal penetration test. Verified with Engineering team lead.,False,NIGHT
TKT-007083,2026-08-25T13:55:29.948240,HIGH,DDoS Attack,10.220.114.171,prod-db-17,Kavita Deshmukh,140,6040,Confirmed true positive for DDoS Attack. Blocked source IP at perimeter firewall. Notified asset owner in IT Infrastructure.,True,DAY
TKT-008313,2026-08-14T04:45:51.967972,HIGH,DNS Tunneling,10.162.181.97,file-srv-13,Amit Verma,45,5971,Reviewed DNS Tunneling targeting file-srv-13. Source identified as internal penetration test. Verified with Operations team lead.,False,NIGHT
TKT-001356,2026-09-09T02:01:15.357798,LOW,DDoS Attack,10.11.152.198,file-srv-13,Amit Verma,406,455,Investigated DDoS Attack on file-srv-13. Contained threat by isolating the host and running full AV scan. Root cause: outdated vulnerability scanner signatures.,False,NIGHT
TKT-004612,2026-09-06T07:33:11.998099,HIGH,Port Scan,10.167.33.224,prod-web-45,Priya Patel,190,3093,Reviewed Port Scan targeting prod-web-45. Source identified as internal penetration test. Verified with Engineering team lead.,False,DAY
TKT-003962,2026-08-19T08:28:15.791264,LOW,SQL Injection,10.17.89.23,vpn-gw-14,Rohit Malhotra,635,1709,"Escalated SQL Injection to Tier-2. Forensic analysis revealed network topology change during patching. Remediation applied, monitoring for recurrence.",False,DAY
TKT-007270,2026-08-20T13:14:05.482690,LOW,C2 Communication,10.48.69.230,prod-db-2,Pooja Chauhan,134,1373,Reviewed C2 Communication targeting prod-db-2. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,DAY
TKT-003499,2026-09-05T09:43:04.582805,LOW,Port Scan,10.138.180.11,stg-web-33,Deepa Reddy,784,895,Performed deep-dive on Port Scan. Memory dump analysis showed no IOCs. Likely caused by scheduled maintenance script execution. Closing as benign.,False,DAY
TKT-006575,2026-09-02T20:51:35.589446,CRITICAL,SQL Injection,10.33.251.38,net-sw-41,Kavita Deshmukh,64,9227,"Responded to SQL Injection on net-sw-41. Quarantined suspicious binary, submitted hash to local sandbox. Result: test traffic from red-team exercise.",True,SWING
TKT-001647,2026-09-09T14:58:45.728833,LOW,XSS Attack,10.22.130.83,prod-app-31,Kavita Deshmukh,311,999,Confirmed true positive for XSS Attack. Blocked source IP at perimeter firewall. Notified asset owner in Engineering.,False,SWING
TKT-007469,2026-09-08T23:36:32.504502,LOW,Ransomware,10.45.136.161,file-srv-28,Neha Joshi,277,1702,Confirmed true positive for Ransomware. Blocked source IP at perimeter firewall. Notified asset owner in Operations.,False,NIGHT
TKT-005663,2026-08-29T22:35:13.167358,MEDIUM,Data Exfiltration,10.112.138.54,stg-app-34,Amit Verma,538,1174,Reviewed Data Exfiltration targeting stg-app-34. Source identified as internal penetration test. Verified with Engineering team lead.,False,NIGHT
TKT-001141,2026-08-22T00:23:09.418497,MEDIUM,XSS Attack,10.241.232.126,prod-web-45,Meera Iyer,91,834,Triaged XSS Attack alert from prod-web-45. Correlated with SIEM logs — determined to be benign activity from scheduled test traffic from red-team exercise.,False,NIGHT
TKT-008854,2026-09-01T12:29:00.633791,MEDIUM,XSS Attack,10.68.253.85,stg-app-34,Neha Joshi,477,3023,Reviewed XSS Attack targeting stg-app-34. Source identified as internal penetration test. Verified with Engineering team lead.,False,DAY
TKT-006241,2026-08-28T05:12:32.910365,HIGH,Port Scan,10.118.97.84,file-srv-13,Arjun Nair,206,6669,Performed deep-dive on Port Scan. Memory dump analysis showed no IOCs. Likely caused by scheduled maintenance script execution. Closing as benign.,True,NIGHT
TKT-000136,2026-09-05T01:01:04.053109,CRITICAL,Malware Detection,10.58.32.122,prod-db-17,Priya Patel,4,8,Issue resolved. Closing ticket.,False,NIGHT
TKT-000470,2026-09-08T20:33:09.949219,LOW,Unauthorized Access,10.226.115.234,prod-db-17,Pooja Chauhan,768,1743,Resolved per SOP.,False,SWING
TKT-007053,2026-09-06T22:28:43.075609,LOW,DDoS Attack,10.172.188.147,prod-db-32,Pooja Chauhan,685,1606,Reviewed DDoS Attack targeting prod-db-32. Source identified as internal penetration test. Verified with IT Infrastructure team lead.,False,NIGHT
TKT-002033,2026-08-14T03:13:15.437657,LOW,Data Exfiltration,10.213.201.44,fin-ws-37,Rohit Malhotra,740,327,"Responded to Data Exfiltration on fin-ws-37. Quarantined suspicious binary, submitted hash to local sandbox. Result: misconfigured service account.",False,NIGHT
TKT-004339,2026-09-09T00:17:09.119094,CRITICAL,Port Scan,10.213.64.157,stg-web-33,Meera Iyer,43,7169,"Escalated Port Scan to Tier-2. Forensic analysis revealed legitimate admin remote session. Remediation applied, monitoring for recurrence.",True,NIGHT
TKT-004213,2026-09-03T11:21:43.630865,HIGH,Privilege Escalation,10.101.129.97,net-sw-41,Ananya Sharma,234,5604,Performed deep-dive on Privilege Escalation. Memory dump analysis showed no IOCs. Likely caused by misconfigured service account. Closing as benign.,True,DAY
TKT-009822,2026-08-28T18:52:56.377456,MEDIUM,Brute Force Attempt,10.131.42.83,file-srv-13,Arjun Nair,249,779,Investigated Brute Force Attempt on file-srv-13. Contained threat by isolating the host and running full AV scan. Root cause: outdated vulnerability scanner signatures.,False,SWING
TKT-008410,2026-09-08T07:39:40.847589,MEDIUM,Ransomware,10.132.37.195,corp-ws-6,Deepa Reddy,111,1658,Confirmed true positive for Ransomware. Blocked source IP at perimeter firewall. Notified asset owner in Operations.,False,DAY
TKT-009833,2026-08-19T02:03:49.341950,HIGH,DNS Tunneling,10.68.169.73,vpn-gw-44,Deepa Reddy,176,3031,Detected DNS Tunneling pattern on vpn-gw-44. Updated IDS signatures and added source to watchlist. scheduled maintenance script execution confirmed.,True,NIGHT
