alert_id,entity_id,asset_name,alert_category,alert_severity,time_to_close_seconds,escalated,resolution_notes
AL-1001,ENT-A,web-server-01,Malware,Medium,3600,True,Analyzed payload in sandbox. Quarantined file and wiped directory.
AL-1002,ENT-A,db-prod-02,Unauthorized Access,Critical,4,False,Checked logs. All good.
AL-1003,ENT-B,fw-edge-01,DDoS,High,4500,True,Applied rate limiting to source IPs. Traffic normalized.
AL-1004,ENT-A,user-workstation-44,Phishing,Low,12,False,Checked logs. All good.
AL-1005,ENT-C,auth-server-01,Brute Force,Critical,14,False,Checked logs. All good.
AL-1006,ENT-C,auth-server-02,Brute Force,Critical,7200,True,Investigated failed logins. Reset user credentials and blocked IP block.
AL-1007,ENT-B,payment-gateway,Data Exfiltration,High,9,False,Resolved.
AL-1008,ENT-A,web-server-01,Malware,Medium,4100,True,Identified adware strain. Removed and ran full system scan.
AL-1009,ENT-D,vpn-concentrator,Anomalous Login,Medium,8,False,Checked logs. All good.
AL-1010,ENT-D,vpn-concentrator,Anomalous Login,High,8500,True,User logged in from new geolocation. Confirmed travel with HR.
AL-1011,ENT-B,internal-wiki,Unauthorized Access,Low,18,False,Resolved.
AL-1012,ENT-A,db-prod-02,SQL Injection,Critical,5,False,Checked logs. All good.
AL-1013,ENT-A,user-workstation-12,Phishing,Low,3600,False,User forwarded to abuse inbox. Confirmed malicious and deleted.
AL-1014,ENT-B,fw-edge-01,Port Scan,Low,5,False,Resolved.
AL-1015,ENT-A,db-prod-02,Unauthorized Access,Critical,8,False,Checked logs. All good.
AL-1016,ENT-C,auth-server-01,Brute Force,Medium,4500,False,IP blocked at firewall.
AL-1017,ENT-D,vpn-concentrator,Anomalous Login,High,7200,True,Verified with user. Legitimate travel to new region.
AL-1018,ENT-A,user-workstation-15,Malware,High,14,False,Checked logs. All good.
AL-1019,ENT-B,payment-gateway,Data Exfiltration,Critical,9000,True,Blocked outbound transfer. Incident response team engaged.
AL-1020,ENT-C,user-workstation-03,Phishing,Low,1200,False,False positive. Marketing email.
AL-1021,ENT-D,web-server-02,DDoS,Medium,5400,False,Rate limiting applied automatically. Monitored for 1 hour.
AL-1022,ENT-A,db-prod-02,SQL Injection,Critical,6,False,Checked logs. All good.
AL-1023,ENT-B,internal-wiki,Unauthorized Access,Low,18,False,Resolved.
AL-1024,ENT-C,auth-server-02,Brute Force,Medium,3600,False,Account locked out as per policy.
AL-1025,ENT-D,user-workstation-22,Malware,High,8500,True,Quarantined machine. Reimaging initiated.
AL-1026,ENT-A,user-workstation-45,Phishing,Low,4,False,Checked logs. All good.
AL-1027,ENT-B,fw-edge-01,Port Scan,Low,8,False,Resolved.
AL-1028,ENT-C,auth-server-01,Brute Force,Medium,4100,False,IP blocked at firewall.
AL-1029,ENT-D,vpn-concentrator,Anomalous Login,Medium,6000,False,User mistyped password multiple times.
AL-1030,ENT-A,web-server-01,Malware,High,7,False,Checked logs. All good.
AL-1031,ENT-B,payment-gateway,Unauthorized Access,Critical,12,False,Resolved.
AL-1032,ENT-C,db-analytics-01,Data Exfiltration,High,9200,True,DBA confirmed legitimate bulk export for reporting.
AL-1033,ENT-D,user-workstation-18,Phishing,Low,1500,False,Deleted email from user inbox.
AL-1034,ENT-A,user-workstation-09,Malware,Medium,11,False,Checked logs. All good.
AL-1035,ENT-B,fw-edge-01,DDoS,High,15,False,Resolved.
AL-1036,ENT-C,auth-server-02,Brute Force,Critical,10500,True,Coordinated attack detected. Blocked entire subnet.
AL-1037,ENT-D,web-server-02,SQL Injection,High,7800,True,WAF blocked payload. Tuned WAF rules.
AL-1038,ENT-A,db-prod-02,Unauthorized Access,Critical,5,False,Checked logs. All good.
AL-1039,ENT-B,internal-wiki,Unauthorized Access,Low,22,False,Resolved.
